rows loaded: 15341
cells: dark@390, dark@1440, light@390, light@1440
routes: 33

distinct triples: 828   below floor: 62

| theme | ink | size | measured backdrop | worst | floor | n | routes | example selector |
| light | `#433c31` | 12.5px/500 | opaque #c2bcb0 | 5.76 | 4.5 | 1 | 1 | `a` |
| light | `#544019` | 13.8px/700 | cover | 5.80 | 4.5 | 16 | 9 | `a.active` |
| light | `#433c31` | 13.8px/500 | canvas+cover | 5.82 | 4.5 | 83 | 14 | `a` |
| light | `#544019` | 13.8px/700 | opaque #cdc6ba | 5.83 | 4.5 | 1 | 1 | `a.active` |
| light | `#544019` | 19.2px/300 | #bg-canvas | 5.86 | 4.5 | 21 | 3 | `span` |
| light | `#433c31` | 12.5px/500 | opaque #c4bdb7 | 5.86 | 4.5 | 1 | 1 | `a` |
| light | `#544019` | 12.5px/700 | cover | 5.87 | 4.5 | 2 | 1 | `a.active` |
| light | `#433c31` | 13.8px/500 | opaque #c3beb5 | 5.88 | 4.5 | 1 | 1 | `a` |
| light | `#585244` | 12.5px/300 | opaque #e6e0d2 | 5.90 | 4.5 | 1 | 1 | `span.sep` |
| light | `#000000` | 13.0px/300 | opaque #a58345 | 5.93 | 4.5 | 1 | 1 | `text.md-flag` |
| light | `#544019` | 16.3px/300 | #bg-canvas | 5.96 | 4.5 | 18 | 1 | `div.arc-when` |
| light | `#433c31` | 12.5px/500 | opaque #c7bfb1 | 5.97 | 4.5 | 1 | 1 | `a` |
| dark | `#c9a45c` | 59.2px/800 L | cover | 5.99 | 3.0 | 1 | 1 | `h1.home-title` |
| light | `#433c31` | 12.5px/500 | opaque #c7bfb7 | 5.99 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 9.3px/400 | #bg-canvas | 6.01 | 4.5 | 139 | 32 | `span.brand-sub` |
| light | `#544019` | 13.8px/700 | opaque #c5cbca | 6.01 | 4.5 | 1 | 1 | `a.active` |
| light | `#433c31` | 12.5px/500 | opaque #c6c0b4 | 6.01 | 4.5 | 1 | 1 | `a` |
| dark | `#9b937f` | 14.4px/300 | opaque #16140f | 6.02 | 4.5 | 15 | 2 | `p` |
| dark | `#9b937f` | 13.4px/300 | opaque #16140f | 6.02 | 4.5 | 613 | 20 | `div.card-tagline` |
| dark | `#9b937f` | 13.1px/300 | opaque #16140f | 6.02 | 4.5 | 14 | 2 | `p` |
| dark | `#9b937f` | 10.9px/300 | opaque #16140f | 6.02 | 4.5 | 16 | 2 | `div.lbl` |
| dark | `#9b937f` | 12.2px/300 | opaque #16140f | 6.02 | 4.5 | 582 | 19 | `div.card-meta` |
| dark | `#9b937f` | 11.8px/300 | opaque #16140f | 6.02 | 4.5 | 114 | 3 | `a.branch-chip` |
| dark | `#9b937f` | 11.2px/300 | opaque #16140f | 6.02 | 4.5 | 19 | 1 | `em` |
| dark | `#9b937f` | 12.8px/300 | opaque #16140f | 6.02 | 4.5 | 2 | 1 | `div.mu-panel-meta` |
| dark | `#9b937f` | 10.5px/300 | opaque #16140f | 6.02 | 4.5 | 17 | 1 | `text` |
| dark | `#9b937f` | 12.5px/300 | opaque #16140f | 6.02 | 4.5 | 1 | 1 | `span.sep` |
| dark | `#000000` | 13.0px/300 | opaque #a2864c | 6.05 | 4.5 | 1 | 1 | `text.md-flag` |
| dark | `#9b937f` | 10.5px/300 | #bg-canvas | 6.07 | 4.5 | 8 | 1 | `text` |
| light | `#433c31` | 12.5px/500 | #bg-canvas | 6.07 | 4.5 | 270 | 33 | `a` |
| light | `#544019` | 13.4px/500 | #bg-canvas | 6.11 | 4.5 | 8 | 4 | `a.aw-btn.primary` |
| light | `#544019` | 16.0px/300 | cover | 6.11 | 4.5 | 17 | 9 | `a` |
| light | `#000000` | 13.0px/300 | opaque #a88546 | 6.11 | 4.5 | 2 | 1 | `text.md-flag` |
| light | `#433c31` | 14.7px/300 | #bg-canvas | 6.12 | 4.5 | 61 | 24 | `span` |
| light | `#544019` | 15.5px/300 | #bg-canvas | 6.12 | 4.5 | 4 | 1 | `a` |
| light | `#544019` | 10.9px/300 | #bg-canvas | 6.13 | 4.5 | 28 | 14 | `div.page-kicker` |
| light | `#433c31` | 13.8px/500 | opaque #c8c2b4 | 6.13 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 13.8px/500 | opaque #c6c2ba | 6.13 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 9.3px/400 | opaque #cbc1b7 | 6.14 | 4.5 | 1 | 1 | `span.brand-sub` |
| light | `#544019` | 13.8px/700 | opaque #d4cbbd | 6.16 | 4.5 | 1 | 1 | `a.active` |
| light | `#433c31` | 12.5px/500 | opaque #cac2b3 | 6.16 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 12.5px/300 | cover | 6.20 | 4.5 | 120 | 12 | `a` |
| light | `#433c31` | 12.5px/500 | opaque #cbc2b9 | 6.20 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 12.5px/500 | opaque #c9c3b8 | 6.21 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 12.5px/300 | #bg-canvas | 6.22 | 4.5 | 580 | 24 | `a` |
| light | `#433c31` | 15.2px/300 | #bg-canvas | 6.22 | 4.5 | 79 | 2 | `li` |
| light | `#544019` | 10.4px/300 | #bg-canvas | 6.24 | 4.5 | 4 | 2 | `div.daily-kicker` |
| light | `#544019` | 16.0px/300 | #bg-canvas | 6.26 | 4.5 | 15 | 4 | `a` |
| light | `#585244` | 12.5px/300 | opaque #eae7db | 6.27 | 4.5 | 1 | 1 | `span.sep` |
| light | `#433c31` | 9.3px/400 | opaque #cdc3bc | 6.29 | 4.5 | 1 | 1 | `span.brand-sub` |
| light | `#433c31` | 12.5px/500 | opaque #ccc4b8 | 6.30 | 4.5 | 1 | 1 | `a` |
| light | `#433c31` | 12.5px/500 | canvas+cover | 6.30 | 4.5 | 38 | 9 | `a` |
| light | `#000000` | 13.0px/300 | opaque #a9884c | 6.31 | 4.5 | 1 | 1 | `text.md-flag` |
| light | `#433c31` | 14.7px/300 | cover | 6.33 | 4.5 | 21 | 12 | `span` |
