rows(all)=15894 clean=15341 fullyOccluded=553

DISTINCT TRIPLES (ink,size,backdrop-CLASS): 328 ; below floor: 6

| theme | ink | size/wt | backdrop class | worst | floor | rows | routes | example |
| dark | `#d8d2c4` | 16.3/300 | #bg-canvas | 9.47 | 4.5 | 35 | 16 | `p.page-lede` |
| light | `#2b2620` | 22.4/600 | #bg-canvas | 9.51 | 4.5 | 6 | 1 | `h2` |
| light | `#2b2620` | 14.4/300 | #bg-canvas | 9.60 | 4.5 | 14 | 1 | `span.mc-name` |
| dark | `#d8d2c4` | 12.5/300 | opaque | 9.64 | 4.5 | 91 | 5 | `a` |
| light | `#2b2620` | 11.5/300 | cover | 9.67 | 4.5 | 2 | 1 | `div.kicker` |
| light | `#2b2620` | 15.4/300 | #bg-canvas | 9.73 | 4.5 | 5 | 2 | `span` |
| dark | `#e8c98a` | 10.9/300 | #bg-canvas | 9.81 | 4.5 | 27 | 14 | `div.page-kicker` |
| dark | `#d8d2c4` | 15.5/300 | #bg-canvas | 9.81 | 4.5 | 26 | 2 | `p` |
| dark | `#d8d2c4` | 12.8/400 | #bg-canvas | 9.83 | 4.5 | 23 | 12 | `span.count` |
| light | `#2b2620` | 54.4/800 | #bg-canvas | 9.98 | 3.0 | 16 | 16 | `h1.display` |
| dark | `#e8c98a` | 10.4/300 | #bg-canvas | 10.04 | 4.5 | 4 | 2 | `div.daily-kicker` |
| dark | `#d8d2c4` | 9.3/400 | #bg-canvas | 10.05 | 4.5 | 101 | 31 | `span.brand-sub` |
| dark | `#e8c98a` | 12.5/700 | cover | 10.06 | 4.5 | 2 | 1 | `a.active` |
| dark | `#ece6d9` | 23.2/800 | canvas+cover | 10.09 | 3.0 | 31 | 16 | `span.brand-text` |
| dark | `#e8c98a` | 16.3/300 | #bg-canvas | 10.09 | 4.5 | 18 | 1 | `div.arc-when` |
| light | `#433c31` | 11.5/300 | opaque | 10.09 | 4.5 | 39 | 2 | `span.mc-meta` |
| light | `#433c31` | 11.8/300 | opaque | 10.09 | 4.5 | 2 | 1 | `p.map-hint` |
| light | `#2b2620` | 16.0/400 | #bg-canvas | 10.12 | 4.5 | 3 | 1 | `strong` |
| dark | `#e8c98a` | 10.2/300 | opaque | 10.14 | 4.5 | 62 | 5 | `div.lc-kicker` |
| light | `#2b2620` | 32.0/800 | opaque | 10.16 | 3.0 | 1 | 1 | `h1.display` |
| dark | `#e8c98a` | 18.9/300 | opaque | 10.17 | 4.5 | 2 | 1 | `div.mu-hook` |
| dark | `#ece6d9` | 57.6/800 | cover | 10.21 | 3.0 | 12 | 12 | `h1` |
| dark | `#ece6d9` | 30.4/800 | cover | 10.21 | 3.0 | 12 | 12 | `h1` |
| light | `#2b2620` | 48.0/600 | #bg-canvas | 10.22 | 3.0 | 2 | 1 | `h1` |
| dark | `#e8c98a` | 13.1/300 | #bg-canvas | 10.26 | 4.5 | 30 | 3 | `a` |
| light | `#2b2620` | 54.4/800 | opaque | 10.26 | 3.0 | 1 | 1 | `h1.display` |
| dark | `#e8c98a` | 12.2/300 | #bg-canvas | 10.32 | 4.5 | 5 | 2 | `a.daily-enter` |
| dark | `#ece6d9` | 16.8/600 | cover | 10.32 | 4.5 | 10 | 1 | `b` |
| dark | `#e8c98a` | 16.0/300 | #bg-canvas | 10.32 | 4.5 | 14 | 4 | `a` |
| dark | `#e8c98a` | 19.2/300 | #bg-canvas | 10.34 | 4.5 | 23 | 3 | `span` |
| dark | `#e8c98a` | 15.5/300 | #bg-canvas | 10.40 | 4.5 | 4 | 1 | `a` |
| dark | `#e8c98a` | 17.9/600 | #bg-canvas | 10.40 | 4.5 | 20 | 1 | `a` |
| dark | `#e8c98a` | 12.5/700 | canvas+cover | 10.45 | 4.5 | 1 | 1 | `a.active` |
| dark | `#d8d2c4` | 15.8/300 | #bg-canvas | 10.46 | 4.5 | 20 | 10 | `p.desc-col` |
| dark | `#d8d2c4` | 12.5/400 | #bg-canvas | 10.50 | 4.5 | 27 | 4 | `button.f-btn` |
| dark | `#e8c98a` | 38.4/400 | #bg-canvas | 10.51 | 3.0 | 2 | 1 | `b` |
| light | `#2b2620` | 52.0/800 | #bg-canvas | 10.51 | 3.0 | 1 | 1 | `h1.display` |
| light | `#2b2620` | 12.5/400 | opaque | 10.54 | 4.5 | 36 | 10 | `a.chip` |
| dark | `#e8c98a` | 13.4/500 | #bg-canvas | 10.58 | 4.5 | 9 | 4 | `a.aw-btn.primary` |
| dark | `#d8d2c4` | 15.2/300 | #bg-canvas | 10.61 | 4.5 | 89 | 2 | `li` |
| dark | `#e8c98a` | 16.8/500 | #bg-canvas | 10.62 | 4.5 | 5 | 2 | `a.aw-btn.primary.ob-cta` |
| dark | `#d8d2c4` | 10.4/300 | #bg-canvas | 10.64 | 4.5 | 6 | 2 | `span` |
| dark | `#e8c98a` | 12.2/400 | #bg-canvas | 10.67 | 4.5 | 2 | 1 | `button.tl2-leg.tl2-leg-more` |
| dark | `#d8d2c4` | 17.9/300 | #bg-canvas | 10.73 | 4.5 | 2 | 1 | `p.daily-note` |
| dark | `#d8d2c4` | 12.5/300 | #bg-canvas | 10.80 | 4.5 | 594 | 25 | `a` |
| dark | `#d8d2c4` | 16.8/300 | #bg-canvas | 10.82 | 4.5 | 1 | 1 | `p` |
| dark | `#e8c98a` | 12.5/700 | #bg-canvas | 10.85 | 4.5 | 19 | 10 | `a.active` |
| dark | `#d8d2c4` | 14.7/300 | #bg-canvas | 10.86 | 4.5 | 65 | 24 | `span` |
| dark | `#d8d2c4` | 9.9/300 | #bg-canvas | 10.89 | 4.5 | 27 | 14 | `a.chip-label` |
| dark | `#d8d2c4` | 10.9/300 | #bg-canvas | 10.89 | 4.5 | 6 | 3 | `span.f-label` |
| dark | `#d8d2c4` | 16.0/300 | #bg-canvas | 10.89 | 4.5 | 5 | 2 | `p` |
| dark | `#d8d2c4` | 12.0/300 | #bg-canvas | 10.93 | 4.5 | 4 | 1 | `p.daily-return` |
| dark | `#b0dad3` | 9.9/400 | #bg-canvas | 10.97 | 4.5 | 5 | 2 | `b` |
| dark | `#d8d2c4` | 11.8/300 | #bg-canvas | 11.02 | 4.5 | 6 | 2 | `p.map-hint` |
| dark | `#d8d2c4` | 13.1/300 | #bg-canvas | 11.04 | 4.5 | 6 | 2 | `span` |
| dark | `#d8d2c4` | 11.2/300 | #bg-canvas | 11.07 | 4.5 | 27 | 8 | `span.tl-year.end` |
| light | `#2b2620` | 38.4/600 | #bg-canvas | 11.11 | 3.0 | 1 | 1 | `a` |
| dark | `#d8d2c4` | 11.5/300 | #bg-canvas | 11.21 | 4.5 | 13 | 1 | `span.mc-meta` |
| dark | `#d8d2c4` | 12.2/400 | #bg-canvas | 11.23 | 4.5 | 27 | 2 | `button.tl2-leg` |
| light | `#2b2620` | 14.7/400 | #bg-canvas | 11.29 | 4.5 | 39 | 23 | `strong` |
| dark | `#e8c98a` | 16.8/400 | opaque | 11.53 | 4.5 | 269 | 33 | `button` |
| dark | `#e8c98a` | 9.9/300 | opaque | 11.53 | 4.5 | 4 | 2 | `div.ec-kicker` |
| dark | `#e8c98a` | 12.8/400 | opaque | 11.53 | 4.5 | 1 | 1 | `button.ec-surprise` |
| dark | `#e8c98a` | 21.6/300 | opaque | 11.53 | 4.5 | 3 | 2 | `span.ec-arrow` |
| dark | `#e8c98a` | 27.2/800 | opaque | 11.53 | 3.0 | 10 | 1 | `span.n` |
| dark | `#e8c98a` | 13.1/300 | opaque | 11.53 | 4.5 | 7 | 3 | `a` |
| dark | `#e8c98a` | 33.6/800 | opaque | 11.53 | 3.0 | 19 | 2 | `div.num` |
| dark | `#e8c98a` | 16.8/600 | opaque | 11.53 | 4.5 | 23 | 2 | `h3` |
